module,category,file_count,size_bytes
00_README_and_Indexes,text,7,17585
00_README_and_Indexes,xlsx,6,85783
01_Product_QMS,docx,29,1148140
01_Product_QMS,pdf,1,107049
01_Product_QMS,xlsx,13,141524
01_Product_QMS,zip,1,7061
02_Algorithm_and_ML,docx,3,201325
03_Data_Golden_Dataset,docx,7,283943
03_Data_Golden_Dataset,xlsx,3,50746
04_Bench_Testing,docx,2,232338
04_Bench_Testing,xlsx,4,51014
05_Clinical,docx,21,837090
05_Clinical,xlsx,7,1296530
06_EU_MDR,docx,41,1689760
06_EU_MDR,pdf,1,107049
06_EU_MDR,xlsx,16,141804
07_US_FDA,docx,19,748777
07_US_FDA,xlsx,13,95612
08_Privacy_and_Security,docx,8,311261
08_Privacy_and_Security,xlsx,4,38219
09_HFE_Usability,docx,3,122096
09_HFE_Usability,xlsx,2,32760
10_Pilot_Automation,audio,1,2400044
10_Pilot_Automation,batch,4,1786
10_Pilot_Automation,csv,53,300129
10_Pilot_Automation,json,58,17547
10_Pilot_Automation,other,2,612
10_Pilot_Automation,pdf,1,1889
10_Pilot_Automation,python,9,77160
10_Pilot_Automation,shell,4,2014
10_Pilot_Automation,text,7,8601
10_Pilot_Automation,xlsx,1,5980
10_Pilot_Automation,zip,1,2021
