file_name,paragraph_count,table_count,heading_count,heading_preview
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Data_Management_Plan_v1.0_EN.docx,47,0,14,"1. Purpose and scope | 2. Systems and data sources | 3. Subject identifiers and pseudonymization | 4. Data structure and dictionary | 5. Data entry and transfer processes | 5.1 EDC data entry | 5.2 App data transfer | 6. Data quality control | 7. Missing data and deviations | 8. Security, access and audit trail | 9. Backups and disaster recovery | 10. Database lock and closeout"
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Data_Management_Plan_v1.0_RU.docx,47,0,14,"1. Цель и область применения | 2. Системы и источники данных | 3. Идентификация и псевдонимизация | 4. Структура данных и словарь | 5. Процессы ввода и передачи данных | 5.1. Ввод данных в EDC | 5.2. Передача данных от приложения | 6. Контроль качества данных | 7. Обработка пропусков и отклонений | 8. Безопасность, доступ и аудит | 9. Резервное копирование и восстановление | 10. Заморозка и закрытие базы данных"
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_IFU_Draft_v1.0_EN.docx,54,0,10,1. Intended use | 2. Limitations | 3. Device requirements | 4. Preparation | 5. Measurement procedure (Universal water-impact mode) | 6. Measurement quality (Quality score) | 7. Review and export | 8. Privacy and data | 9. Troubleshooting | 10. Technical specifications (reference)
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_IFU_Draft_v1.0_RU.docx,54,0,10,1. Назначение | 2. Ограничения применения | 3. Требования к устройству | 4. Подготовка | 5. Выполнение измерения (универсальный режим «в воду») | 6. Оценка качества (Quality score) | 7. Просмотр и экспорт результата | 8. Конфиденциальность и данные | 9. Устранение неполадок | 10. Технические характеристики (для справки)
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_IntendedUse_Claims_ByRegion_v1.0_RU.docx,72,1,19,"1. Цель документа | 2. Общее описание изделия (ядро, общее для всех регионов) | 3. Стратегия claims («лестница») | 3.1 Claim Set A - базовый (рекомендован для первичной регистрации/запуска) | 3.2 Claim Set B - описательный паттерн кривой (опционально) | 3.3 Claim Set C - decision support (не включать в стартовый scope) | 4. Intended use (общая базовая формулировка) | 4.1 RU (для РФ) | 4.2 EN (универсальная для ЕС/США и как основа для перевода) | 5. Элементы маркировки/ограничения (обязательные для IFU) | 6. Региональные claim‑наборы (Claim Set A - стартовый) | Россия (РФ)"
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Labeling_Claims_Alignment_v1.0_RU.docx,29,2,9,1. Назначение | 2. Базовый scope (Claim Set A) | 3. Библиотека утвержденных фраз (UI/Report/Marketing) | 3.1 UI - экран результата | 3.2 UI - предупреждения | 3.3 Отчет (PDF) | 3.4 Маркетинг/описание в сторе | 4. Чек‑лист согласования перед релизом | 5. Управление изменениями
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PMCF_Plan_v1.0_RU.docx,42,1,12,1. Цель | 2. Обоснование необходимости PMCF | 3. Цели PMCF | 4. Дизайн PMCF | 4.1 Компонент A: наблюдательное клиническое исследование (real‑world) | 4.2 Компонент B: сбор обратной связи клиницистов и usability | 4.3 Компонент C: мониторинг дрейфа производительности по данным PMS | 5. Популяция и выборка | 6. Анализ данных | 7. Управление изменениями | 8. Отчётность | 9. Этические и правовые аспекты
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_PSUR_Template_v1.0_RU.docx,29,1,8,1. Идентификация изделия | 2. Резюме результатов PMS | 3. Данные о продажах/использовании | 4. Жалобы и инциденты | 5. FSCA/корректирующие действия | 6. Тренд‑анализ и сигналы безопасности | 7. Обновление benefit–risk | 8. Выводы и план действий
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Quality_Score_Calibration_Protocol_v1.0_RU.docx,31,1,7,1. Назначение | 2. Референсная «истина» для качества | 3. Выбор набора для калибровки | 4. Метрики калибровки и целевые требования | 5. Процедура подбора порогов | 6. Артефакт‑контроли и UI‑поведение | 7. Выходные артефакты
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Regulatory_Appendices_v1.0.docx,60,0,8,"1. Краткое описание изделия и intended use | 2. Общий пакет доказательств (сквозной для регионов) | 3. США (FDA): классификация и досье | 4. ЕС (MDR 2017/745): Rule 11 и техническая документация | 5. Россия (Росздравнадзор): регистрация, клинические испытания, данные | 6. Китай (NMPA): SaMD, измерительная функция, доказательства | 7. Регуляторные «guardrails» для claims и UX | 8. Приложение: чек‑листы досье (по регионам)"
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Site_Initiation_Visit_Agenda_v1.0_RU.docx,19,2,5,Цель SIV | Участники | Материалы к SIV | Повестка (пример) | Чек‑лист готовности (SIV output)
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Software_System_VV_Plan_v1.0_EN.docx,32,1,15,1. Purpose | 2. Scope | 3. Standards and guidance (reference list) | 4. V&V approach overview | 5. Test levels and artifacts | 5.1 Reviews | 5.2 Unit and integration testing | 5.3 System testing (functional) | 5.4 Performance testing (analytical) | 5.5 Clinical validation | 5.6 Usability/HFE validation | 5.7 Cybersecurity verification
Submission_Build_v2.8/01_Product_QMS/Other/Uroflow_Software_System_VV_Report_v1.0_EN.docx,33,2,16,1. Summary | 2. Release identification | 3. Scope | 4. Verification results | 4.1 Requirements and design reviews | 4.2 Unit / integration testing | 4.3 System functional testing | 5. Validation results | 5.1 Bench analytical validation | 5.2 Clinical validation | 5.3 Usability/HFE validation | 5.4 Cybersecurity validation
Submission_Build_v2.8/01_Product_QMS/Uroflow_Acceptance_Criteria_Lock_Record_v1.0_EN.docx,16,2,4,1. Source documents | 2. Locked thresholds (release v1.0) | 3. Change rules | 4. Approval (signatures)
Submission_Build_v2.8/01_Product_QMS/Uroflow_Acceptance_Criteria_Lock_Record_v1.0_RU.docx,16,2,4,1. Источник критериев | 2. Зафиксированные пороги (релиз v1.0) | 3. Правила изменения критериев | 4. Утверждение (подписи)
Submission_Build_v2.8/01_Product_QMS/Uroflow_Acceptance_Criteria_v1.0_RU.docx,22,4,7,"1. Назначение | 2. Определения | 3. Гейт качества (Quality Score, QS) | 4. Gate G0 - готовность к пилоту (обычно 1 площадка) | 5. Gate G1 - готовность к пивот‑КИ (мульти‑площадки) | 6. Gate G2 - гейт релиза (готовность к выпуску) | 7. Управление отклонениями"
Submission_Build_v2.8/01_Product_QMS/Uroflow_Claims_Lock_Record_v1.0_EN.docx,24,2,5,1. Intended use (baseline wording) | 2. Excluded claims (release v1.0) | 3. Claim Set A - regional wording | 4. Linked controlled documents | 5. Approval (signatures)
Submission_Build_v2.8/01_Product_QMS/Uroflow_Claims_Lock_Record_v1.0_RU.docx,28,2,9,"1. Intended use (единая базовая формулировка) | 2. Исключенные утверждения (релиз v1.0) | 3. Claim Set A – формулировки по регионам | 3.1 Россия (РФ) | 3.2 Европейский Союз (ЕС, MDR) | 3.3 США (US FDA) | 3.4 Китай (КНР, NMPA) | 4. Связанные контролируемые документы | 5. Утверждение (подписи)"
Submission_Build_v2.8/01_Product_QMS/Uroflow_Freeze_Procedure_Dataset_Model_QS_v1.0_EN.docx,42,3,8,1. Purpose | 2. Freeze objects | 3. Freeze triggers | 4. Preconditions | 5. Freeze workflow | 6. Checkpoints and records | 7. Prohibited actions | Appendix A. Freeze checklist
Submission_Build_v2.8/01_Product_QMS/Uroflow_Freeze_Procedure_Dataset_Model_QS_v1.0_RU.docx,42,3,8,1. Цель | 2. Объекты заморозки | 3. Триггеры заморозки | 4. Предусловия | 5. Процесс заморозки (workflow) | 6. Контрольные точки и записи | 7. Запреты и ограничения | Приложение A. Чек-лист заморозки (сводный)
Submission_Build_v2.8/01_Product_QMS/Uroflow_QMS_DesignControls_Execution_Pack_v1.0_RU.docx,59,4,14,1. Назначение | 2. Область применения | 3. Роли и ответственность (RACI) | 4. Иерархия документов QMS | 5. Управление документами и записями (Document & Record Control) | 6. План разработки и дизайн‑контроль (Design and Development Plan) | 6.1 Этапы и дизайн‑ревью | 6.2 Design Inputs (зафиксированные требования) | 6.3 Design Outputs (артефакты проекта) | 7. Верификация и валидация (V&V) | 8. Управление изменениями (Change Control) | 9. CAPA и жалобы
Submission_Build_v2.8/01_Product_QMS/Uroflow_QMS_SOP_Pack_v1.0_RU.docx,124,13,15,"Введение | Список SOP | SOP-QMS-001 - Управление документами (Document Control) | SOP-QMS-002 - Управление записями (Record Control) | SOP-QMS-003 - Управление изменениями (Change Control, включая ML) | SOP-QMS-004 - Несоответствия и CAPA | SOP-QMS-005 - Работа с обращениями/жалобами | SOP-QMS-006 - Управление поставщиками (Supplier Management) | SOP-QMS-007 - Обучение и компетенции | SOP-QMS-008 - Постмаркетинговый надзор (PMS) | SOP-RISK-001 - Управление рисками (ISO 14971) | SOP-SW-001 - SDLC для SaMD/ML (IEC 62304-aligned)"
Submission_Build_v2.8/01_Product_QMS/Uroflow_Residual_Risk_and_BenefitRisk_v1.0_RU.docx,24,1,6,1. Контекст и предпосылки | 2. Клиническая польза (benefit) | 3. Остаточные риски (residual risks) | 3.1 Ключевые остаточные риски категории B (ALARP) | 4. Анализ польза–риск | 5. Заключение
Submission_Build_v2.8/01_Product_QMS/Uroflow_Risk_Management_Plan_ISO14971_v1.0_RU.docx,65,2,0,
Submission_Build_v2.8/01_Product_QMS/Uroflow_Risk_Management_Report_ISO14971_v1.0_RU.docx,28,1,8,1. Резюме | 2. Объект оценки | 3. Использованные входные данные | 4. Итоги по управлению рисками | 5. Проверка мер управления | 6. Оценка остаточного риска и вывод | 7. Дальнейшие действия (до релиза и после) | 8. Утверждение
Submission_Build_v2.8/01_Product_QMS/Uroflow_Smartphone_Design_Controls_Pack_v1.0.docx,55,6,14,1. Контроль документа | 2. Цель и область применения | 3. Intended use и ограничения заявлений | 4. Нормативные и методические ориентиры | 5. Hazard Analysis (кратко) | 6. Матрица трассируемости требований (RTM) | 7. План верификации и тест-кейсы (основной набор) | 7.1. Матрица тестов | 8. Risk Management (FMEA) | 9. Контроль изменений и релиз-менеджмент | 9.1. ML-модель: правила обновления | 10. Постмаркет (PMS) и мониторинг качества
Submission_Build_v2.8/01_Product_QMS/Uroflow_Software_Release_and_Update_Policy_v1.0_RU.docx,65,1,13,1. Цель | 2. Область применения | 3. Версионирование | 4. Типы релизов | 5. Release Governance (гейты) | 6. Acceptance Gates (обязательные проверки) | 6.1 Технические тесты | 6.2 ML/Алгоритм | 6.3 Безопасность | 6.4 Usability/HFE | 7. Политика обновления ML-моделей | 8. Распространение релизов
Submission_Build_v2.8/01_Product_QMS/Uroflow_Software_System_VV_Report_Pilot_Freeze_v1.0_EN.docx,20,4,6,1. Scope and version under validation | 2. Reference documents | 3. Execution summary (evidence table) | 4. Deviations and unresolved anomalies | 5. Conclusion | Sign-off
Submission_Build_v2.8/01_Product_QMS/Uroflow_Software_System_VV_Report_Pilot_Freeze_v1.0_RU.docx,20,4,6,1. Область и версия | 2. Ссылочные документы | 3. Сводка выполненных работ (evidence table) | 4. Отклонения и нерешенные аномалии | 5. Вывод | Подписи
Submission_Build_v2.8/02_Algorithm_and_ML/Uroflow_CoreML_Model_Input_Contract_v1.0.docx,64,4,9,1. Цель и принципы | 2. Потоки данных и синхронизация | 3. Признаки на шаге 100 мс (feature frames) | 4. Model A: Event/Quality (stateful) | 5. Model B: Q(t)+σ (stateful) | 6. Пост‑процессинг и вычисление параметров | 7. JSON‑контракт результата сессии | 8. Версионирование и совместимость | 9. Тестирование контракта (обязательные проверки)
